\ EQUINOX = 'J2000.0'
\ Query
|   ra            |   dec           |
|   double        |   double        |
|   deg           |   deg           |
 023.5606533843383 +30.5700896180086
 077.5078496900400 -69.1288822668900
 020.3206960191700 -76.8223944782300
 014.9008060505900 -73.1317837036000
 074.0525044530900 -67.4133607357300
 079.9954247321000 -71.7757172438400
 015.7720718796700 -74.7461365726500
 263.3032018040200 -29.1581425817700
 056.3307099223750 +55.6420874375528
 017.1373059822200 -71.4870358396300
 081.6061431952400 -69.8890778955600
 117.0160468446900 -25.5777845320800
 207.1579531490800 -66.8814892080100
 013.0823815720100 -71.8441228251200
 083.7577029821600 -69.6168582293400
 077.0429227668300 -71.0299029744900
 075.0294811772200 -67.1968684320900
 013.3204201141500 -71.8482476540600
 165.1189771317000 -62.0462680902400
 332.8039568134492 +57.0537840599083
 086.1469562265400 -67.2944222189600
 077.7345808182400 -69.0321249267400
 237.39767         -54.41853        
 014.9333153436600 -72.4859849983400
 266.5905251055000 -25.4221377736400
 074.6494009097500 -69.6503797140800
 116.2233966154738 -33.3048026190022
 158.5397248531700 -61.5975955532100
 015.8768934696500 -72.8525861002300
 020.6583839181500 +54.3856440325100
 013.6524424884100 -73.7207393880500
 019.3020983971100 -73.0629743920700
 077.8462224605200 -71.7084443197800
 013.8522968685000 -71.6745171676900
 077.7972289087000 -69.2083020465400
 078.04708         -67.75122        
 084.8875137090200 -70.5875056559000
 009.72091479000   +40.60916526000  
 247.49292         -48.99497        
 014.7644367256700 -73.5607496123300
 112.7998923330071 -32.3559688662433
 083.7777226047800 -65.2689808120200
 102.2418588592200 -00.6252166914200
 064.5771259661600 +44.0681275193100
 012.8629877079300 -72.8626067288400
 188.3296738413300 -64.1086214901100
 286.9094655561129 +12.6371828269169
 075.1921859187400 -69.0817876164200
 077.7659321552000 -66.4943876437400
 083.0945683850300 -69.0349955668400
 076.1451193121958 -69.2530530187111
 258.9826012179300 -30.1360998792700
 013.7457506966900 -73.1551496270786
 013.6369654555900 -72.5075152170000
 010.34268049000   +40.67148825000  
 084.2619394727200 -70.1242915658600
 267.77383         -26.63842        
 260.75279         -35.31431        
 016.2616112701000 -73.0699101361100
 010.68024981000   +40.99987874000  
 265.12679         -27.79944        
 010.43208824000   +41.41017248000  
 088.0244798517800 -70.7509132744700
 087.7328525223900 -69.5180364469100
 018.1830706348700 -73.9164842703200
